tillfalle_id,kurs_id,grupp_id,personal_id,startdatum,slutdatum
1,1,1,1,2024-06-10,2024-09-06
2,2,1,1,2024-09-09,2024-10-04
3,3,1,2,2024-10-07,2024-11-01
4,4,1,4,2024-11-04,2025-01-10
5,5,1,5,2025-01-13,2025-02-07
6,6,1,1,2025-02-10,2025-03-07
7,7,1,5,2025-03-10,2025-04-04
8,8,1,11,2025-04-07,2025-05-02
9,9,1,1,2025-05-05,2025-05-30
10,10,1,2,2025-06-02,2025-06-27
11,11,1,5,2025-08-18,2025-09-12
12,12,1,11,2025-08-18,2025-09-12
13,13,1,11,2025-10-13,2025-11-07
14,14,1,10,2025-11-10,2025-12-05
15,1,2,1,2025-02-10,2025-04-04
16,2,2,1,2026-02-16,2026-03-13
17,3,2,2,2025-04-07,
18,4,2,4,2025-05-05,2025-06-27
19,5,2,5,2026-06-08,2026-07-03
20,6,2,1,2025-08-18,2025-09-12
