cohort_slot_course_id,course_id,slot_id,cohort_id,teachers,created_at,slot_span
1,0,9,,[],2025-12-14T15:56:08.871Z,1
2,1,9,,[],2025-12-14T15:56:08.871Z,1
3,2,9,,[],2025-12-14T15:56:08.871Z,2
4,3,10,,[],2025-12-14T15:56:08.871Z,1
5,4,10,,[],2025-12-14T15:56:08.871Z,1
6,5,10,,[],2025-12-14T15:56:08.871Z,1
7,6,11,,[],2025-12-14T15:56:08.871Z,1
8,7,11,,[],2025-12-14T15:56:08.871Z,1
9,8,12,,[],2025-12-14T15:56:08.871Z,1
10,1,12,,[],2025-12-14T15:56:08.871Z,1
11,9,13,,[],2025-12-14T15:56:08.871Z,1
12,10,14,,[],2025-12-14T15:56:08.871Z,1
13,11,15,,[],2025-12-14T15:56:08.871Z,1
14,7,15,,[],2025-12-14T15:56:08.871Z,1
15,10,16,,[],2025-12-14T15:56:08.871Z,1
16,12,16,,[],2025-12-14T15:56:08.871Z,1
17,0,17,,[],2025-12-14T15:56:08.871Z,1
18,2,17,,[],2025-12-14T15:56:08.871Z,2
19,3,18,,[],2025-12-14T15:56:08.871Z,1
20,5,19,,[],2025-12-14T15:56:08.871Z,1
21,11,20,,[],2025-12-14T15:56:08.871Z,1
22,8,20,,[],2025-12-14T15:56:08.871Z,1
23,6,21,,[],2025-12-14T15:56:08.871Z,1
24,1,22,,[],2025-12-14T15:56:08.871Z,1
25,9,23,,[],2025-12-14T15:56:08.871Z,1
26,10,23,,[],2025-12-14T15:56:08.871Z,1
27,4,24,,[],2025-12-14T15:56:08.871Z,1
28,11,25,,[],2025-12-14T15:56:08.871Z,1
29,2,25,,[],2025-12-14T15:56:08.871Z,2
30,10,26,,[],2025-12-14T15:56:08.871Z,1
31,3,26,,[],2025-12-14T15:56:08.871Z,1
32,8,27,,[],2025-12-14T15:56:08.871Z,1
