slot_day_id,slot_id,date
121953,1,2024-06-10
121954,1,2024-06-11
121955,1,2024-06-12
121956,1,2024-06-13
121957,1,2024-06-14
121958,1,2024-06-15
121959,1,2024-06-16
121960,1,2024-06-17
121961,1,2024-06-18
121962,1,2024-06-19
121963,1,2024-06-20
121964,1,2024-06-21
121965,1,2024-06-22
121966,1,2024-06-23
121967,1,2024-06-24
121968,1,2024-06-25
121969,1,2024-06-26
121970,1,2024-06-27
121971,1,2024-06-28
121972,1,2024-06-29
121973,1,2024-06-30
121974,1,2024-07-01
121975,1,2024-07-02
121976,1,2024-07-03
121977,1,2024-07-04
121978,1,2024-07-05
121979,1,2024-07-06
121980,1,2024-07-07
121981,2,2024-09-09
121982,2,2024-09-10
121983,2,2024-09-11
121984,2,2024-09-12
121985,2,2024-09-13
121986,2,2024-09-14
121987,2,2024-09-15
121988,2,2024-09-16
121989,2,2024-09-17
121990,2,2024-09-18
121991,2,2024-09-19
121992,2,2024-09-20
121993,2,2024-09-21
121994,2,2024-09-22
121995,2,2024-09-23
121996,2,2024-09-24
121997,2,2024-09-25
121998,2,2024-09-26
121999,2,2024-09-27
122000,2,2024-09-28
122001,2,2024-09-29
122002,2,2024-09-30
122003,2,2024-10-01
122004,2,2024-10-02
122005,2,2024-10-03
122006,2,2024-10-04
122007,2,2024-10-05
122008,2,2024-10-06
122009,3,2024-10-07
122010,3,2024-10-08
122011,3,2024-10-09
122012,3,2024-10-10
122013,3,2024-10-11
122014,3,2024-10-12
122015,3,2024-10-13
122016,3,2024-10-14
122017,3,2024-10-15
122018,3,2024-10-16
122019,3,2024-10-17
122020,3,2024-10-18
122021,3,2024-10-19
122022,3,2024-10-20
122023,3,2024-10-21
122024,3,2024-10-22
122025,3,2024-10-23
122026,3,2024-10-24
122027,3,2024-10-25
122028,3,2024-10-26
122029,3,2024-10-27
122030,3,2024-10-28
122031,3,2024-10-29
122032,3,2024-10-30
122033,3,2024-10-31
122034,3,2024-11-01
122035,3,2024-11-02
122036,4,2025-01-13
122037,4,2025-01-14
122038,4,2025-01-15
122039,4,2025-01-16
122040,4,2025-01-17
122041,4,2025-01-18
122042,4,2025-01-19
122043,4,2025-01-20
122044,4,2025-01-21
122045,4,2025-01-22
122046,4,2025-01-23
122047,4,2025-01-24
122048,4,2025-01-25
122049,4,2025-01-26
122050,4,2025-01-27
122051,4,2025-01-28
122052,4,2025-01-29
122053,4,2025-01-30
122054,4,2025-01-31
122055,4,2025-02-01
